Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
TCF23		2p23.3	HOMDEL	2	408	0.5%	No
SLC5A4		22q12.3	HOMDEL	2	408	0.5%	No
ATP4B		13q34	AMP	15	408	3.7%	No
LINC00919		16q12.1	AMP	3	408	0.7%	No
LHFPL4		3p25.3	AMP	36	408	8.8%	No
POLR2J3		7q22.1	HOMDEL	1	408	0.2%	No
RNA5SP136		3p13	HOMDEL	7	408	1.7%	No
PCDH9		13q21.32	AMP	8	408	2.0%	No
ZNF169		9q22.32	AMP	3	408	0.7%	No
GBX2		2q37.2	HOMDEL	14	408	3.4%	No
SUCLA2		13q14.2	HOMDEL	23	408	5.6%	No
PRKCA		17q24.2	AMP	14	408	3.4%	No
HCG24		6p21	AMP	1	408	0.2%	No
RN7SKP244		4q22.1	HOMDEL	2	408	0.5%	No
RN7SL286P		15q13.3	AMP	1	408	0.2%	No
MORN4		10q24.2	HOMDEL	6	408	1.5%	No
SLC5A11		16p12.1	HOMDEL	1	408	0.2%	No
LHFPL3		7q22.2-q22.3	AMP	5	408	1.2%	No
GPR137		11q13.1	AMP	5	408	1.2%	No
RNA5SP356		12p11.22	AMP	8	408	2.0%	No
ZAR1		4p11	AMP	2	408	0.5%	No
HCG23		6p21.32	AMP	8	408	2.0%	No
SLC5A3		21q22.11	HOMDEL	1	408	0.2%	No
POLR2J4		7p13	HOMDEL	1	408	0.2%	No
SHROOM1		5q31.1	HOMDEL	3	408	0.7%	No
GBX1		7q36.1	HOMDEL	2	408	0.5%	No
ST14		11q24.3	AMP	1	408	0.2%	No
RNA5SP137		3q21.2	HOMDEL	1	408	0.2%	No
RN7SKP243		11q13.4	HOMDEL	1	408	0.2%	No
OR52B4		11p15.4	HOMDEL	4	408	1.0%	No
NAGS		17q21.31	AMP	3	408	0.7%	No
PCDH8		13q14.3	AMP	3	408	0.7%	No
C10ORF90		10q26.2	HOMDEL	9	408	2.2%	No
SLC5A6		2p23.3	HOMDEL	2	408	0.5%	No
CYLD		16q12.1	HOMDEL	2	408	0.5%	Yes
AARS1		16q22.1	HOMDEL	1	408	0.2%	No
RNA5SP135		3p14.1	HOMDEL	8	408	2.0%	No
ARHGEF38		4q24	HOMDEL	1	408	0.2%	No
POU2F3		11q23.3	AMP	1	408	0.2%	No
EIF3M		11p13	HOMDEL	2	408	0.5%	No
PDE3B		11p15.2	AMP	2	408	0.5%	No
GRXCR1		4p13	AMP	1	408	0.2%	No
RN7SL596P		11q13.1	AMP	4	408	1.0%	No
GPR139		16p12.3	AMP	5	408	1.2%	No
RTN4IP1		6q21	HOMDEL	7	408	1.7%	No
DPP8		15q22.31	HOMDEL	2	408	0.5%	No
HOATZ		11q23.1	HOMDEL	3	408	0.7%	No
RNA5SP359		12q12	AMP	11	408	2.7%	No
RNA5SP358		12q12	AMP	11	408	2.7%	No
POLR2J2		7q22.1	HOMDEL	1	408	0.2%	No
WDR97		8q24.3	AMP	20	408	4.9%	No
HSD17B7P2		10p11.1	AMP	8	408	2.0%	No
POU2F2		19q13.2	AMP	9	408	2.2%	Yes
DNTT		10q24.1	HOMDEL	6	408	1.5%	No
HIGD2A		5q35.2	AMP	2	408	0.5%	No
ARHGEF39		9p13.3	HOMDEL	2	408	0.5%	No
OR2A1		7q35	AMP	3	408	0.7%	No
SNORD111B		16q22.1	HOMDEL	1	408	0.2%	No
DPP9		19p13.3	HOMDEL	1	408	0.2%	No
TNIK		3q26.2-q26.31	AMP	18	408	4.4%	No
HCG25		6p21.32	AMP	2	408	0.5%	No
GCNT1		9q21.13	AMP	1	408	0.2%	No
RN7SL123P		9p24.1	HOMDEL	16	408	3.9%	No
RN7SKP241		10p12.1	HOMDEL	3	408	0.7%	No
RNA5SP133		3p14.3	HOMDEL	5	408	1.2%	No
USP41P		22q11.21	AMP	13	408	3.2%	No
PRKCE		2p21	AMP	7	408	1.7%	No
DPP7		9q34.3	HOMDEL	4	408	1.0%	No
DUSP22		6p25.3	AMP	4	408	1.0%	Yes
ZNF814		19q13.43	HOMDEL	1	408	0.2%	No
KRBA1		7q36.1	AMP	2	408	0.5%	No
ZNF660		3p21.31	HOMDEL	2	408	0.5%	No
PAICS		4q12	AMP	6	408	1.5%	No
SLC5A7		2q12.3	HOMDEL	1	408	0.2%	No
LHFPL1		Xq23	AMP	2	408	0.5%	No
PTK7		6p21.1	AMP	7	408	1.7%	Yes
DUSP21		Xp11.3	AMP	2	408	0.5%	No
ZNF165		6p22.1	AMP	11	408	2.7%	No
SEC23IP		10q26.11-q26.12	HOMDEL	9	408	2.2%	No
ARHGEF37		5q32	HOMDEL	1	408	0.2%	No
HCG27		6p21.33	AMP	10	408	2.5%	No
RNA5SP134		3p14.2	HOMDEL	7	408	1.7%	No
RN7SL640P		9p13.1	AMP	7	408	1.7%	No
PRKCD		3p21.1	AMP	3	408	0.7%	No
RN7SKP240		6p22.3	HOMDEL	1	408	0.2%	No
TRDN		6q22.31	HOMDEL	7	408	1.7%	No
GRXCR2		5q32	AMP	2	408	0.5%	No
SLX4IP		20p12.2	AMP	2	408	0.5%	No
SHLD2P1		10q11.22	HOMDEL	4	408	1.0%	No
MYCBP2		13q22.3	HOMDEL	5	408	1.2%	No
RN7SL743P		16p13.2	HOMDEL	3	408	0.7%	No
MORN1		1p36.32	HOMDEL	1	408	0.2%	No
ZNF319		16q21	AMP	1	408	0.2%	No
KRBA2		17p13.1	AMP	1	408	0.2%	No
PRTG		15q21.3	HOMDEL	2	408	0.5%	No
PTGER4		5p13.1	AMP	30	408	7.4%	No
LRRK1		15q26.3	HOMDEL	4	408	1.0%	No
ERP27		12p12.3	AMP	2	408	0.5%	No
FOXD4L4		9q21.11	AMP	7	408	1.7%	No
AMOT		Xq23	AMP	2	408	0.5%	No
RNA5SP503		Xp11.23	AMP	3	408	0.7%	No
WDR93		15q26.1	AMP	2	408	0.5%	No
TMEM270		7q11.23	AMP	4	408	1.0%	No
RN7SL47P		6q21	HOMDEL	6	408	1.5%	No
ZC2HC1C		14q24.3	HOMDEL	2	408	0.5%	No
OR2A5		7q35	AMP	3	408	0.7%	No
GTF2I		7q11.23	AMP	4	408	1.0%	Yes
ZNF318		6p21.1	AMP	9	408	2.2%	No
PCDHA1		5q31.3	AMP	1	408	0.2%	No
SLC16A14		2q36.3	HOMDEL	12	408	2.9%	No
CENPVL1		Xp11.22	AMP	1	408	0.2%	No
ZNF662		3p22.1	HOMDEL	2	408	0.5%	No
ARHGEF35		7q35	HOMDEL	1	408	0.2%	No
ERP29		12q24.13	AMP	10	408	2.5%	No
RNA5SP502		Xp11.4	AMP	2	408	0.5%	No
OR2A4		6q23.2	AMP	5	408	1.2%	No
FOXD4L5		9q21.11	AMP	7	408	1.7%	No
DUSP23		1q23.2	AMP	46	408	11.3%	No
ECPAS		9q31.3	AMP	3	408	0.7%	No
SNN		16p13.13	AMP	13	408	3.2%	No
PRKCI		3q26.2	AMP	19	408	4.7%	Yes
SPATA45		1q32.3	HOMDEL	3	408	0.7%	No
ADSS1		14q32.33	HOMDEL	9	408	2.2%	No
PCDHA2		5q31.3	AMP	1	408	0.2%	No
FAM217B		20q13.33	AMP	3	408	0.7%	No
LINC00502		10q23.31	HOMDEL	4	408	1.0%	No
OPRPN		4q13.3	AMP	6	408	1.5%	No
ZNF317		19p13.2	AMP	4	408	1.0%	No
ZC2HC1B		6q24.2	HOMDEL	2	408	0.5%	No
RMST		12q23.1	AMP	6	408	1.5%	No
CPA1		7q32.2	AMP	3	408	0.7%	No
IL15RA		10p15.1	HOMDEL	1	408	0.2%	No
POU2F1		1q24.2	AMP	43	408	10.5%	No
AIFM2		10q22.1	AMP	4	408	1.0%	No
WDR91		7q33	AMP	3	408	0.7%	No
XAB2		19p13.2	HOMDEL	1	408	0.2%	No
RNA5SP350		11q23.1	AMP	2	408	0.5%	No
GUCY2EP		11q13.5	AMP	13	408	3.2%	No
EGFEM1P		3q26.2	AMP	19	408	4.7%	No
FOXD4L6		9p11.2	AMP	7	408	1.7%	No
RHCG		15q26.1	AMP	2	408	0.5%	No
PDE3A		12p12.2	AMP	6	408	1.5%	No
PCDHA3		5q31.3	AMP	1	408	0.2%	No
RETSAT		2p11.2	AMP	7	408	1.7%	No
NAGK		2p13.3	AMP	10	408	2.5%	No
FAM217A		6p25.2	AMP	8	408	2.0%	No
PRKCH		14q23.1	AMP	1	408	0.2%	No
ARL14EP		11p14.1	AMP	5	408	1.2%	No
GMEB1		1p35.3	AMP	3	408	0.7%	No
LDHB		12p12.1	AMP	9	408	2.2%	No
MFN1		3q26.33	AMP	18	408	4.4%	No
C19ORF47		19q13.2	AMP	14	408	3.4%	No
PEX3		6q24.2	HOMDEL	3	408	0.7%	No
RN7SL91P		Xp21.3	AMP	5	408	1.2%	No
DUSP26		8p12	AMP	8	408	2.0%	No
DYNC2LI1		2p21	AMP	4	408	1.0%	No
AIFM3		22q11.21	AMP	13	408	3.2%	No
LMO7		13q22.2	AMP	13	408	3.2%	No
OR2A2		7q35	AMP	3	408	0.7%	No
PCDHA4		5q31.3	AMP	1	408	0.2%	No
CPA2		7q32.2	AMP	2	408	0.5%	No
RNA5SP504		Xp11.22	AMP	2	408	0.5%	No
GHDC		17q21.2	AMP	4	408	1.0%	No
LDHA		11p15.1	AMP	2	408	0.5%	No
PCDH1		5q31.3	AMP	2	408	0.5%	No
GMEB2		20q13.33	AMP	5	408	1.2%	No
PRKCG		19q13.42	AMP	14	408	3.4%	No
RN7SL625P		7q11.23	AMP	4	408	1.0%	No
LINC00917		16q24.1	AMP	8	408	2.0%	No
LDHC		11p15.1	AMP	2	408	0.5%	No
PCDHA5		5q31.3	AMP	1	408	0.2%	No
FLACC1		2q33.1	AMP	1	408	0.2%	No
ANTXRLP1		10q11.22	HOMDEL	4	408	1.0%	No
HLX		1q41	AMP	3	408	0.7%	No
SF3A2		19p13.3	HOMDEL	1	408	0.2%	No
TTPAL		20q13.12	AMP	12	408	2.9%	No
SLC35A4		5q31.3	AMP	1	408	0.2%	No
IFTAP		11p12	HOMDEL	2	408	0.5%	No
HNRNPA2B1		7p15.2	AMP	8	408	2.0%	Yes
TMEM273		10q11.23	AMP	5	408	1.2%	No
HSP90AA4P		4q35.2	HOMDEL	9	408	2.2%	No
GPR132		14q32.33	AMP	4	408	1.0%	No
RNA5SP352		11q24.2	AMP	1	408	0.2%	No
PCDHA6		5q31.3	AMP	1	408	0.2%	No
WARS2		1p12	AMP	8	408	2.0%	No
C10ORF95		10q24.32	HOMDEL	7	408	1.7%	No
RNA5SP351		11q23.1	AMP	1	408	0.2%	No
ZNF160		19q13.42	AMP	14	408	3.4%	No
MFN2		1p36.22	AMP	4	408	1.0%	No
TSPOAP1		17q22	AMP	10	408	2.5%	No
PTK2		8q24.3	AMP	19	408	4.7%	No
SSRP1		11q12.1	AMP	4	408	1.0%	No
CYGB		17q25.1	AMP	12	408	2.9%	No
SLC66A3		2p25.1	AMP	9	408	2.2%	No
HMOX1		22q12.3	HOMDEL	3	408	0.7%	No
ARID3A		19p13.3	HOMDEL	3	408	0.7%	Yes
WDR90		16p13.3	AMP	1	408	0.2%	Yes
DAPK3		19p13.3	AMP	1	408	0.2%	No
RNA5SP508		Xq13.3	AMP	1	408	0.2%	No
NSDHL		Xq28	HOMDEL	3	408	0.7%	No
CCDC90B		11q14.1	AMP	10	408	2.5%	No
CYP2U1		4q25	AMP	3	408	0.7%	No
SATL1		Xq21.1	HOMDEL	2	408	0.5%	No
HCG21		6p21	AMP	10	408	2.5%	No
DBF4B		17q21.31	AMP	3	408	0.7%	No
DUSP29		10q22.2	AMP	9	408	2.2%	No
HMOX2		16p13.3	HOMDEL	8	408	2.0%	No
TRMT44		4p16.1	AMP	2	408	0.5%	No
SPATA31J1		5q35.3	AMP	1	408	0.2%	No
C3ORF70		3q27.2	AMP	17	408	4.2%	No
NDP		Xp11.3	HOMDEL	4	408	1.0%	No
DAPK2		15q22.31	AMP	1	408	0.2%	No
RNA5SP354		12p11.23	AMP	12	408	2.9%	No
KRT42P		17q21.2	HOMDEL	1	408	0.2%	No
SLC66A2		18q23	AMP	3	408	0.7%	No
GLRA1		5q33.1	HOMDEL	1	408	0.2%	No
HTR7P1		12p13.1	AMP	3	408	0.7%	No
SLC35A2		Xp11.23	AMP	2	408	0.5%	No
PTCD2		5q13.2	HOMDEL	7	408	1.7%	No
OR2A7		7q35	AMP	3	408	0.7%	No
LDHD		16q23.1	AMP	11	408	2.7%	No
MPIG6B		6p21.33	AMP	8	408	2.0%	No
HCG20		6p21	AMP	10	408	2.5%	No
EME2		16p13.3	HOMDEL	7	408	1.7%	No
RHCE		1p36.11	AMP	5	408	1.2%	No
SLC35A3		1p21.2	AMP	1	408	0.2%	No
VEZF1		17q22	AMP	11	408	2.7%	No
SLCO3A1		15q26.1	HOMDEL	3	408	0.7%	No
SLC66A1		1p36.13	AMP	3	408	0.7%	No
RNA5SP353		12p13.1	AMP	3	408	0.7%	No
PCDHA7		5q31.3	AMP	1	408	0.2%	No
RNA5SP507		Xq13.1	AMP	1	408	0.2%	No
ARID3C		9p13.3	HOMDEL	2	408	0.5%	Yes
IMPDH2		3p21.31	AMP	4	408	1.0%	No
CALY		10q26.3	HOMDEL	13	408	3.2%	No
RNY4P30		13q14.2	AMP	1	408	0.2%	No
PRKCQ		10p15.1	AMP	34	408	8.3%	No
NAALADL2		3q26.31	HOMDEL	2	408	0.5%	No
PRKD2		19q13.32	AMP	5	408	1.2%	No
RASGRF1		15q25.1	HOMDEL	2	408	0.5%	No
RNU6ATAC31P		4q22.1	HOMDEL	2	408	0.5%	No
CDK11B		1p36.33	HOMDEL	1	408	0.2%	No
RN7SL558P		4p14	HOMDEL	1	408	0.2%	No
GJD4		10p11.21	HOMDEL	2	408	0.5%	No
LINC00347		13q22.1	HOMDEL	6	408	1.5%	No
PCDHA8		5q31.3	AMP	1	408	0.2%	No
STEEP1		Xq24	AMP	1	408	0.2%	No
TNFAIP8		5q23.1	HOMDEL	5	408	1.2%	No
MFSD6		2q32.2	HOMDEL	2	408	0.5%	No
PIP4P1		14q11.2	HOMDEL	3	408	0.7%	No
CPA6		8q13.2	AMP	17	408	4.2%	No
COPG2		7q32.2	AMP	3	408	0.7%	No
IFT88		13q12.11	AMP	3	408	0.7%	No
MEDAG		13q12.3	HOMDEL	4	408	1.0%	No
CDK11A		1p36.33	HOMDEL	1	408	0.2%	No
PRKD1		14q12	AMP	2	408	0.5%	Yes
ATP7B		13q14.3	HOMDEL	19	408	4.7%	No
PVALB		22q12.3	AMP	9	408	2.2%	No
RASGRF2		5q14.1	HOMDEL	4	408	1.0%	No
PCDHA9		5q31.3	AMP	1	408	0.2%	No
THY1		11q23.3	AMP	2	408	0.5%	No
SNU13		22q13.2	AMP	1	408	0.2%	No
LINC00348		13q21.33	HOMDEL	8	408	2.0%	No
EIF3D		22q12.3	HOMDEL	3	408	0.7%	No
SNORA38B		17q24.2	HOMDEL	1	408	0.2%	No
SCAP		3p21.31	HOMDEL	6	408	1.5%	No
ULBP2		6q25.1	HOMDEL	6	408	1.5%	No
GAS8-AS1		16q24.3	AMP	8	408	2.0%	No
CLEC3B		3p21.31	HOMDEL	2	408	0.5%	No
LINC00345		13q14.3	HOMDEL	18	408	4.4%	No
RN7SL471P		6p22.1	AMP	7	408	1.7%	No
ATP7A		Xq21.1	HOMDEL	3	408	0.7%	No
SLC35A5		3q13.2	AMP	7	408	1.7%	No
PI4K2A		10q24.2	HOMDEL	6	408	1.5%	No
RN7SL766P		13q12.11	AMP	4	408	1.0%	No
MYBPC3		11p11.2	AMP	3	408	0.7%	No
SIPA1L3		19q13.13-q13.2	AMP	25	408	6.1%	No
C10ORF88		10q26.13	AMP	2	408	0.5%	No
CSTPP1		11p11.2	AMP	3	408	0.7%	No
TMEM268		9q32	AMP	1	408	0.2%	No
OR10AG1		11q12.1	HOMDEL	2	408	0.5%	No
HAGH		16p13.3	HOMDEL	6	408	1.5%	No
NDN		15q11.2	HOMDEL	4	408	1.0%	No
CHCHD7		8q12.1	AMP	12	408	2.9%	Yes
RNY4P31		13q21.2	AMP	3	408	0.7%	No
ULBP1		6q25.1	HOMDEL	6	408	1.5%	No
SLC16A10		6q21	HOMDEL	8	408	2.0%	No
OR7E24		19p13.2	AMP	4	408	1.0%	No
MYBPC2		19q13.33	AMP	7	408	1.7%	No
IMPDH1		7q32.1	AMP	4	408	1.0%	No
LDLR		19p13.2	HOMDEL	1	408	0.2%	No
DAPL1		2q24.1	HOMDEL	1	408	0.2%	No
CBS		21q22.3	HOMDEL	2	408	0.5%	No
COPG1		3q21.3	AMP	5	408	1.2%	No
CRMP1		4p16.2	AMP	3	408	0.7%	No
SLC16A11		17p13.1	HOMDEL	7	408	1.7%	No
CDKN2AIP		4q35.1	AMP	1	408	0.2%	No
OAS1		12q24.13	AMP	7	408	1.7%	No
NCMAP		1p36.11	AMP	5	408	1.2%	No
TMEM41B		11p15.4	AMP	2	408	0.5%	No
CPA3		3q24	AMP	13	408	3.2%	No
FAM124B		2q36.2	HOMDEL	12	408	2.9%	No
MMP23B		1p36.33	AMP	3	408	0.7%	No
NAT8L		4p16.3	AMP	11	408	2.7%	No
MFSD8		4q28.2	HOMDEL	1	408	0.2%	No
C19ORF53		19p13.13	AMP	1	408	0.2%	No
OAS2		12q24.13	AMP	7	408	1.7%	No
NAGPA		16p13.3	HOMDEL	8	408	2.0%	No
TM7SF3		12p11.23	HOMDEL	1	408	0.2%	No
SLC16A12		10q23.31	HOMDEL	8	408	2.0%	No
GPR12		13q12.13	HOMDEL	1	408	0.2%	No
MFNG		22q13.1	AMP	7	408	1.7%	No
TMEM41A		3q27.2	AMP	17	408	4.2%	No
SPAM1		7q31.32	HOMDEL	1	408	0.2%	No
STING1		5q31.2	AMP	1	408	0.2%	No
RNU6ATAC16P		3p21.1	HOMDEL	7	408	1.7%	No
ACTR3B		7q36.1-q36.2	AMP	3	408	0.7%	No
RN7SL456P		7q35	AMP	2	408	0.5%	No
BOD1L2		18q21.31	HOMDEL	6	408	1.5%	No
GUF1		4p12	HOMDEL	2	408	0.5%	No
PROK1		1p13.3	HOMDEL	1	408	0.2%	No
RN7SL602P		2p22.3	HOMDEL	1	408	0.2%	No
PELI1		2p14	AMP	10	408	2.5%	No
RN7SL76P		7q36.1	AMP	3	408	0.7%	No
PELI3		11q13.2	AMP	6	408	1.5%	No
EIF3A		10q26.11	HOMDEL	9	408	2.2%	No
ACTR3C		7q36.1	AMP	2	408	0.5%	No
AGK		7q34	HOMDEL	1	408	0.2%	Yes
RN7SL248P		10q11.22	HOMDEL	4	408	1.0%	No
ADIG		20q11.23	AMP	6	408	1.5%	No
DDHD2		8p11.23	AMP	38	408	9.3%	No
CPA4		7q32.2	AMP	2	408	0.5%	No
CRIPTO3		Xq23	HOMDEL	6	408	1.5%	No
RN7SL868P		5q32	HOMDEL	1	408	0.2%	No
BOD1L1		4p15.33	HOMDEL	3	408	0.7%	No
TMEM9B		11p15.4	HOMDEL	4	408	1.0%	No
PPARGC1A		4p15.2	HOMDEL	3	408	0.7%	No
RNA5SP501		Xp21.1	AMP	4	408	1.0%	No
CAMKV		3p21.31	AMP	3	408	0.7%	No
PROK2		3p13	HOMDEL	7	408	1.7%	No
PRKD3		2p22.2	AMP	6	408	1.5%	No
FAM153CP		5q35.3	AMP	1	408	0.2%	No
PPARGC1B		5q32	HOMDEL	1	408	0.2%	No
TRAV23DV6		14q11.2	AMP	9	408	2.2%	No
CCDC134		22q13.2	HOMDEL	2	408	0.5%	No
CPA5		7q32.2	AMP	3	408	0.7%	No
EIF3B		7p22.3	HOMDEL	3	408	0.7%	No
RNA5SP500		Xp21.3	AMP	3	408	0.7%	No
SLC16A13		17p13.1	HOMDEL	7	408	1.7%	No
KLHL13		Xq24	AMP	2	408	0.5%	No
CLEC17A		19p13.12	HOMDEL	1	408	0.2%	No
ACSF2		17q21.33	AMP	11	408	2.7%	No
AKR1E2		10p15.1	AMP	29	408	7.1%	No
C11ORF58		11p15.2	HOMDEL	4	408	1.0%	No
SLC18B1		6q23.2	AMP	5	408	1.2%	No
DCDC2		6p22.3	AMP	29	408	7.1%	No
CHCHD3		7q32.3-q33	AMP	4	408	1.0%	No
NCOR2		12q24.31	HOMDEL	2	408	0.5%	Yes
TTLL6		17q21.32	AMP	6	408	1.5%	No
EIF2B5		3q27.1	AMP	18	408	4.4%	No
RBFOX3		17q25.3	HOMDEL	2	408	0.5%	No
PTGER3		1p31.1	AMP	3	408	0.7%	No
EIF3J		15q21.1	HOMDEL	2	408	0.5%	No
G2E3		14q12	HOMDEL	3	408	0.7%	No
IFT81		12q24.11	AMP	7	408	1.7%	No
CHCHD2		7p11.2	AMP	10	408	2.5%	No
EIF2B4		2p23.3	AMP	7	408	1.7%	No
LCK		1p35.2	AMP	2	408	0.5%	Yes
KLHL14		18q12.1	AMP	6	408	1.5%	No
OR10W1		11q12.1	HOMDEL	1	408	0.2%	No
UTF1		10q26.3	AMP	2	408	0.5%	No
TTLL7		1p31.1	AMP	3	408	0.7%	No
TPD52L1		6q22.31	AMP	3	408	0.7%	No
OXT		20p13	AMP	1	408	0.2%	No
TNFAIP2		14q32.32	HOMDEL	7	408	1.7%	No
GCNT2		6p24.3-p24.2	AMP	11	408	2.7%	No
EIF2B3		1p34.1	AMP	10	408	2.5%	No
TRDC		14q11.2	HOMDEL	4	408	1.0%	No
TUBA1B		12q13.12	HOMDEL	1	408	0.2%	No
LIMA1		12q13.12	AMP	5	408	1.2%	No
RBFOX2		22q12.3	HOMDEL	3	408	0.7%	No
AVPI1		10q24.2	AMP	1	408	0.2%	No
CHCHD1		10q22.2	AMP	9	408	2.2%	No
CBL		11q23.3	HOMDEL	3	408	0.7%	Yes
SND1		7q32.1	HOMDEL	4	408	1.0%	Yes
TNFAIP3		6q23.3	HOMDEL	3	408	0.7%	Yes
KLHL15		Xp22.11	AMP	8	408	2.0%	No
PTGER1		19p13.12	AMP	3	408	0.7%	No
CAMLG		5q31.1	HOMDEL	3	408	0.7%	No
STS		Xp22.31	HOMDEL	6	408	1.5%	No
H2BC10		6p22.2	AMP	13	408	3.2%	No
RSF1		11q14.1	AMP	16	408	3.9%	No
CLNK		4p16.1	HOMDEL	2	408	0.5%	No
PGM5P2		9p11.2	AMP	7	408	1.7%	No
OR6J1		14q11.2	HOMDEL	4	408	1.0%	No
IFT80		3q25.33	AMP	15	408	3.7%	No
TMED11P		4p16.3	AMP	7	408	1.7%	No
RN7SL263P		22q11.23	HOMDEL	2	408	0.5%	No
AFDN		6q27	AMP	1	408	0.2%	Yes
EIF3L		22q13.1	HOMDEL	3	408	0.7%	No
UOX		1p31.1	HOMDEL	2	408	0.5%	No
EIF2B2		14q24.3	AMP	4	408	1.0%	No
GSTK1		7q34	HOMDEL	1	408	0.2%	No
RBFOX1		16p13.3	HOMDEL	6	408	1.5%	No
DALRD3		3p21.31	HOMDEL	7	408	1.7%	No
TUBA1C		12q13.12	HOMDEL	1	408	0.2%	No
DGCR8		22q11.21	AMP	13	408	3.2%	No
CYB5R4		6q14.2	AMP	3	408	0.7%	No
TTLL5		14q24.3	AMP	5	408	1.2%	No
SCN5A		3p22.2	HOMDEL	1	408	0.2%	No
ZIC3		Xq26.3	HOMDEL	2	408	0.5%	No
NUBP1		16p13.13	AMP	11	408	2.7%	No
DYNLT1		6q25.3	HOMDEL	4	408	1.0%	No
H2BC12		6p22.1	AMP	12	408	2.9%	Yes
EIF3F		11p15.4	HOMDEL	4	408	1.0%	No
DYNLT2		6q27	HOMDEL	8	408	2.0%	No
KIF26A		14q32.33	HOMDEL	8	408	2.0%	No
ASB4		7q21.3	AMP	4	408	1.0%	No
MYBPC1		12q23.2	AMP	5	408	1.2%	No
ADGRB3		6q12-q13	AMP	5	408	1.2%	No
CALU		7q32.1	HOMDEL	1	408	0.2%	No
GGTA1		9q33.2	HOMDEL	2	408	0.5%	No
GDNF		5p13.2	AMP	32	408	7.8%	No
KLHL17		1p36.33	AMP	3	408	0.7%	No
CHCHD6		3q21.3	AMP	6	408	1.5%	No
ASB3		2p16.2	AMP	8	408	2.0%	No
CLK2		1q22	AMP	22	408	5.4%	No
TTLL3		3p25.3	AMP	37	408	9.1%	No
H2BC11		6p22.1	AMP	12	408	2.9%	Yes
KIF26B		1q44	HOMDEL	2	408	0.5%	No
DYNLT3		Xp11.4	HOMDEL	2	408	0.5%	No
PI4K2B		4p15.2	HOMDEL	2	408	0.5%	No
PROZ		13q34	AMP	15	408	3.7%	No
CIMAP1A		11p15.5	HOMDEL	8	408	2.0%	No
NLGN4X		Xp22.32-p22.31	AMP	5	408	1.2%	No
EIF4E2		2q37.1	HOMDEL	13	408	3.2%	No
FTLP10		4q13.2	AMP	7	408	1.7%	No
CPSF4L		17q25.1	AMP	13	408	3.2%	No
AHSA2P		2p15	AMP	12	408	2.9%	No
CHCHD5		2q14.1	AMP	4	408	1.0%	No
KLHL18		3p21.31	AMP	3	408	0.7%	No
RN7SKP238		10q23.1	HOMDEL	6	408	1.5%	No
EIF2B1		12q24.31	AMP	4	408	1.0%	Yes
PRKCZ		1p36.33	AMP	3	408	0.7%	No
TUBA1A		12q13.12	HOMDEL	1	408	0.2%	No
USP17L30		4p16.1	HOMDEL	3	408	0.7%	No
BCS1L		2q35	HOMDEL	8	408	2.0%	No
OR52B6		11p15.4	HOMDEL	5	408	1.2%	No
OR5V1		6p22.1	AMP	9	408	2.2%	No
MPEG1		11q12.1	AMP	3	408	0.7%	Yes
CLK3		15q24.1	AMP	1	408	0.2%	No
STEAP1B		7p15.3	AMP	11	408	2.7%	No
EIF4E3		3p13	HOMDEL	8	408	2.0%	No
ST18		8q11.23	AMP	18	408	4.4%	No
CLVS1		8q12.2-q12.3	HOMDEL	1	408	0.2%	No
RAB27A		15q21.3	HOMDEL	1	408	0.2%	No
NCOR1		17p12-p11.2	HOMDEL	14	408	3.4%	Yes
CHCHD4		3p25.1	AMP	32	408	7.8%	No
EIF3H		8q23.3-q24.11	HOMDEL	1	408	0.2%	No
NEBL		10p12.31	HOMDEL	3	408	0.7%	No
JMY		5q14.1	HOMDEL	5	408	1.2%	No
CYB5R1		1q32.1	AMP	3	408	0.7%	No
H2BC13		6p22.1	AMP	12	408	2.9%	No
LINC00349		13q11	HOMDEL	5	408	1.2%	No
ADGRB1		8q24.3	AMP	20	408	4.9%	No
DOC2B		17p13.3	AMP	2	408	0.5%	No
ASB2		14q32.12	AMP	2	408	0.5%	No
GJD2		15q14	HOMDEL	3	408	0.7%	No
CCNB2		15q22.2	AMP	1	408	0.2%	No
TPD52L2		20q13.33	AMP	5	408	1.2%	No
CLVS2		6q22.31	HOMDEL	6	408	1.5%	No
GCNT7		20q13.31	AMP	4	408	1.0%	No
RAB27B		18q21.2	HOMDEL	4	408	1.0%	No
CLK4		5q35.3	AMP	1	408	0.2%	No
CIMAP1B		22q13.33	HOMDEL	11	408	2.7%	No
LHFPL7		22q11.23	AMP	8	408	2.0%	No
EIF3I		1p35.2	HOMDEL	1	408	0.2%	No
PIP4P2		8q21.3	HOMDEL	1	408	0.2%	No
ADGRB2		1p35.2	AMP	2	408	0.5%	No
TTLL2		6q27	AMP	1	408	0.2%	No
TPD52L3		9p24.1	AMP	9	408	2.2%	No
RN7SL810P		13q22.3	AMP	11	408	2.7%	No
CCNB3		Xp11.22	AMP	2	408	0.5%	Yes
MIR1915HG		10p12.31	AMP	8	408	2.0%	No
PRNT		20p13	AMP	1	408	0.2%	No
NT5C		17q25	AMP	14	408	3.4%	No
NFRKB		11q24.3	HOMDEL	3	408	0.7%	No
TSPAN1		1p34.1	AMP	11	408	2.7%	No
DGCR2		22q11.21	AMP	13	408	3.2%	No
